player_total,dealer_card,soft,win_prob,best_move
17,7,0,0.265,0
18,4,0,0.514,0
12,9,0,0.2975,1
8,6,0,0.468,1
14,4,0,0.3945,0
7,2,0,0.3815,1
14,11,0,0.193,0
8,6,0,0.5015,1
7,10,0,0.2155,1
13,9,1,0.3295,1
12,11,0,0.2255,1
15,4,1,0.487,1
10,5,0,0.589,1
14,11,1,0.255,1
19,10,0,0.441,0
14,4,0,0.4085,0
13,11,0,0.1895,1
15,7,0,0.291,1
7,2,0,0.3535,1
20,7,0,0.8385,0
9,7,0,0.495,1
17,10,0,0.2245,0
12,8,0,0.3115,1
9,10,0,0.328,1
20,6,0,0.774,0
17,10,0,0.21,0
10,2,0,0.553,1
16,4,0,0.4165,0
15,10,0,0.2115,0
15,9,0,0.2355,1
15,6,0,0.452,0
8,8,0,0.3345,1
16,2,0,0.367,0
16,9,0,0.2375,0
18,9,0,0.3345,0
13,6,0,0.431,0
14,3,0,0.3725,0
20,10,0,0.5515,0
18,11,0,0.24,0
9,9,0,0.356,1
14,7,0,0.287,1
14,10,1,0.3125,1
17,11,0,0.203,0
17,5,0,0.423,0
13,6,0,0.4365,0
17,6,1,0.5095,1
21,10,1,0.8935,0
19,7,0,0.7735,0
19,9,0,0.4545,0
13,2,0,0.3555,0
14,2,0,0.35,0
11,10,0,0.458,1
17,8,0,0.241,0
17,10,0,0.1915,0
19,5,0,0.6775,0
17,7,1,0.4295,1
18,3,1,0.5215,0
20,2,0,0.757,0
10,7,0,0.557,1
16,7,1,0.404,1
21,9,1,0.945,0
11,4,0,0.5955,1
16,5,1,0.5175,1
7,3,0,0.384,1
13,4,0,0.3945,0
18,10,0,0.315,0
6,10,0,0.222,0
11,10,0,0.481,1
6,8,0,0.2595,1
19,6,0,0.6755,0
12,10,0,0.246,1
19,2,0,0.608,0
14,8,0,0.2915,1
15,3,0,0.379,0
5,4,0,0.3975,1
21,7,1,0.936,0
8,10,0,0.255,1
14,10,1,0.3145,1
6,4,0,0.394,0
6,6,0,0.4595,0
16,6,0,0.4365,0
14,3,0,0.387,0
16,3,0,0.382,0
7,10,0,0.2255,1
20,8,0,0.863,0
6,5,0,0.4345,0
10,8,0,0.5105,1
12,3,0,0.3975,0
21,10,1,0.882,0
17,7,0,0.2595,0
15,4,1,0.4925,1
15,7,1,0.415,1
15,5,0,0.437,0
18,3,0,0.5315,0
16,8,0,0.2385,0
13,4,0,0.403,0
18,10,0,0.331,0
21,6,1,0.9055,0
16,9,0,0.218,0
12,10,0,0.2555,1
19,8,0,0.7205,0
14,10,0,0.2285,1
12,2,0,0.368,0
7,11,0,0.2015,1
6,7,0,0.2665,0
17,3,0,0.3685,0
17,9,0,0.236,0
20,9,0,0.813,0
21,5,1,0.891,0
17,7,1,0.424,1
21,10,1,0.8855,0
21,8,1,0.9395,0
12,11,0,0.21,1
11,7,0,0.5745,1
15,2,0,0.354,0
14,4,0,0.403,0
16,9,0,0.219,0
11,8,0,0.561,1
9,10,0,0.316,1
19,4,0,0.65,0
18,11,0,0.25,0
20,8,0,0.851,0
13,10,0,0.2315,0
15,11,0,0.2045,0
19,8,0,0.744,0
20,8,0,0.857,0
16,4,0,0.394,0
20,9,0,0.823,0
10,9,0,0.491,1
14,10,1,0.321,1
19,2,1,0.6255,0
11,8,0,0.5555,1
21,10,1,0.8875,0
15,10,0,0.226,0
16,8,0,0.2405,1
18,10,1,0.3525,1
